classification,total_pnl,mean_pnl,median_pnl,trade_count
Extreme Fear,739110.24849,34.53786207897196,0.0,21400
Fear,3357155.441642,54.2903996254993,0.0,61837
Neutral,1292920.67555,34.30771839807886,0.0,37686
Greed,2150129.272951,42.74355948851957,0.0,50303
Extreme Greed,2715171.310673,67.89286133909282,0.0,39992
